caso_id,tomo,tipo_cambio,old_outcome,new_outcome,old_vp,new_vp,old_n,new_n,old_pet,new_pet,new_variante,new_firma
329_p94,329,mejora_gano_firma,otro,originaria,sin_firma,mixed,0,7,"Por lo expuesto esta ejecución fiscal, tal como lo disponen ","Por ello, se resuelve: I. Declarar procedente el recurso ord",por_ello,ENRIQUE SANTIAGO PETRACCHI (en disidencia) — ELENA I. HIGHTON DE NOLASCO (según 
329_p385,329,mejora_gano_firma,otro,confirma,sin_firma,mixed,0,7,"de conformidad con el régimen de las leyes citadas, y había ","Por ello, oído el señor Procurador Fiscal subrogante, se dec",por_ello,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO (según su voto) — CARLO
329_p437,329,REGRESION_menos_jueces,mal_concedido,desestima,segun_su_voto,unanime,6,1,Por ello se declara mal concedido el recurso extraordinario.,"Por ello, se lo desestima. Notifíquese y, oportunamente, dev",por_ello,CARMEN M. ARGIBAY. Recurso extraordinario interpuesto por Víctor Cristian Martín
329_p584,329,mejora_gano_firma,otro,otro,sin_firma,unanime,0,3,"En consecuencia, como lo expresó el Tribunal al examinar la ","Por ello, habiendo dictaminado el señor Procurador General, ",por_ello,ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — E. RAÚL ZAFFARONI —
329_p1066,329,mejora_gano_firma,otro,hace_lugar,sin_firma,mixed,0,7,"Por ello, como regla, carece de sentido señalar que los prof","Por ello, y lo dictaminado por el señor Procurador Fiscal, s",por_ello,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO (en disidencia) — CARLO
329_p1092,329,mejora_gano_firma,abstracto,hace_lugar,sin_firma,disidencia,0,2,"En consecuencia, revisar la doctrina jurisprudencial que fun","Por ello, y oído el señor Procurador Fiscal, se declara impr",por_ello,CARMEN M. ARGIBAY (en disidencia parcial) — GABRIEL B. CHAUSOVSKY — CARLOS M. PE
329_p1191,329,mejora_gano_firma,otro,desestima,sin_firma,segun_su_voto,0,6,"Por ello, como regla, carece de sentido señalar que los prof","Por ello, oído el señor Procurador Fiscal, se desestima la q",por_ello,ENRIQUE SANTIAGO PETRACCHI — CARLOS S. FAYT (según su voto) — JUAN CARLOS MAQUED
329_p1317,329,mejora_gano_firma,otro,otro,sin_firma,unanime,0,7,"En consecuencia, la controversia se circunscribe a determina","Por ello, se decide: Hacer lugar a la demanda y condenar al ",por_ello,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN
329_p1343,329,REGRESION_menos_jueces,competencia,otro,unanime,unanime,5,2,Por los fundamentos y conclusiones del dictamen del señor Pr,Por los fundamentos y conclusiones del dictamen del señor Pr,por_los_fund,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — JUAN
329_p1506,329,REGRESION_perdio_firma,desestima,hace_lugar,disidencia,sin_firma,6,0,"Por ello, se desestima el recurso de hecho planteado. Intíme","Por ello, se hace lugar parcialmente a la queja y al recurso",por_ello,
329_p1586,329,mejora_gano_firma,otro,otro,sin_firma,unanime,0,6,En su mérito modificó el objeto de la demanda y solicitó al ,"Por ello, y de conformidad con el dictamen del señor Procura",por_ello,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN
329_p1703,329,cambio_outcome,otro,revoca,disidencia,disidencia,7,7,"Por ello, y habida cuenta de que no aparecen como irrazonabl","Por ello, se declaran admisibles los recursos ordinarios de ",por_ello,ENRIQUE SANTIAGO PETRACCHI (en disidencia parcial) — ELENA I. HIGHTON DE NOLASCO
329_p1758,329,REGRESION_menos_jueces,otro,otro,disidencia,unanime,7,2,"Por ello y oída la señora Procuradora Fiscal subrogante, se ","Por ello, con el alcance indicado, se declara formalmente ad",por_ello,CARLOS S. FAYT — E. RAÚL ZAFFARONI.
329_p1862,329,mejora_gano_firma,otro,originaria,sin_firma,segun_su_voto,0,7,"En consecuencia, corresponde rechazar la excepción de falta ","Por ello, se resuelve: I. Rechazar la excepción de falta de ",por_ello,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT (según
329_p1924,329,mejora_mas_jueces,competencia,competencia,unanime,unanime,5,6,Por los fundamentos y conclusiones del dictamen del señor Pr,Por los fundamentos y conclusiones del dictamen del señor Pr,por_los_fund,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — JUAN CARLOS MAQUEDA —
329_p1930,329,cambio_vp,otro,otro,unanime,disidencia,7,7,"Por ello, el Tribunal, por mayoría, resuelve: confirmar las ","Por ello, el Tribunal, por mayoría, resuelve: confirmar la s",por_ello,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN
329_p1998,329,cambio_outcome,otro,revoca,segun_su_voto,segun_su_voto,7,7,"En consecuencia, al considerar extemporáneo el recurso de qu","Por ello, y lo dictaminado por el señor Procurador Fiscal, s",por_ello,ENRIQUE SANTIAGO PETRACCHI — ELENA I. HIGHTON DE NOLASCO — CARLOS S. FAYT — JUAN
329_p2037,329,REGRESION_menos_jueces,hace_lugar,desestima,disidencia,unanime,14,3,"Por ello, se hace lugar a la queja, se declara procedente el","Por ello, se desestima la queja. Hágase saber al señor juez ",por_ello,JUAN CARLOS MAQUEDA — RICARDO LUIS LORENZETTI — CARMEN M. ARGIBAY.
